type	latitude	longitude	name
W	-3.062558340	-59.920059000	PP01 [195:Point]
W	-3.062647650	-59.919824760	PP01 [196:Point]
W	-3.062691620	-59.919527730	PP01 [197:Point]
W	-3.062726640	-59.919248720	PP01 [198:Point]
W	-3.062761550	-59.918942720	PP01 [199:Point]
W	-3.062823530	-59.918636620	PP01 [200:Point]
W	-3.062885920	-59.918438480	PP01 [201:Point]
W	-3.062921210	-59.918231430	PP01 [202:Point]
W	-3.062956670	-59.918069370	PP01 [203:Point]
W	-3.062937770	-59.917844540	PP01 [204:Point]
W	-3.062828640	-59.917611060	PP01 [205:Point]
W	-3.062531270	-59.917693150	PP01 [206:Point]
W	-3.062595310	-59.917926810	PP01 [207:Point]
W	-3.062542150	-59.918178900	PP01 [208:Point]
W	-3.062470910	-59.918422060	PP01 [209:Point]
W	-3.062408830	-59.918701170	PP01 [210:Point]
W	-3.062364660	-59.918944230	PP01 [211:Point]
W	-3.062311600	-59.919223310	PP01 [212:Point]
W	-3.062267450	-59.919475360	PP01 [213:Point]
W	-3.062214400	-59.919754440	PP01 [214:Point]
W	-3.067057080	-59.924126130	PP01 [215:Point]
W	-3.067250490	-59.924237830	PP01 [216:Point]
W	-3.066279950	-59.923769240	PP01 [217:Point]
W	-3.066279130	-59.923553340	PP01 [218:Point]
W	-3.066287700	-59.923436360	PP01 [219:Point]
W	-3.066549330	-59.923444360	PP01 [220:Point]
W	-3.066811198	-59.923515339	PP01 [221:Point]
W	-3.067091240	-59.923622230	PP01 [222:Point]
W	-3.067371150	-59.923693130	PP01 [223:Point]
W	-3.067624068	-59.923782128	PP01 [224:Point]
W	-3.067858980	-59.923880199	PP01 [225:Point]
W	-3.068139201	-59.924032068	PP01 [226:Point]
W	-3.068410460	-59.924201971	PP01 [227:Point]
W	-3.068578281	-59.924328280	PP01 [228:Point]
W	-3.068759480	-59.924450520	PP01 [229:Point]
W	-3.068894761	-59.924593138	PP01 [230:Point]
W	-3.069134470	-59.924819950	PP01 [231:Point]
W	-3.070138940	-59.925652770	PP01 [232:Point]
W	-3.069306550	-59.924999210	PP01 [233:Point]
W	-3.069560010	-59.925232150	PP01 [234:Point]
W	-3.069732090	-59.925411420	PP01 [235:Point]
W	-3.069922100	-59.925563630	PP01 [236:Point]
W	-3.078986243	-59.935623376	PP01 [237:Point]
W	-3.078916150	-59.935432310	PP01 [238:Point]
W	-3.078820360	-59.935247530	PP01 [239:Point]
W	-3.078700240	-59.935019570	PP01 [240:Point]
W	-3.078582660	-59.934773800	PP01 [241:Point]
W	-3.078442450	-59.934482760	PP01 [242:Point]
W	-3.078303480	-59.934161950	PP01 [243:Point]
W	-3.078202350	-59.933877250	PP01 [244:Point]
W	-3.078111310	-59.933658720	PP01 [245:Point]
W	-3.078013880	-59.933468280	PP01 [246:Point]
W	-3.077903760	-59.933215460	PP01 [247:Point]
W	-3.077813320	-59.933035790	PP01 [248:Point]
W	-3.077682110	-59.932785650	PP01 [249:Point]
W	-3.077525450	-59.932486860	PP01 [250:Point]
W	-3.077381430	-59.932214280	PP01 [251:Point]
W	-3.077229770	-59.931949740	PP01 [252:Point]
W	-3.077100550	-59.931606760	PP01 [253:Point]
W	-3.076976320	-59.931342570	PP01 [254:Point]
W	-3.076856520	-59.931105880	PP01 [255:Point]
W	-3.076738640	-59.930852460	PP01 [256:Point]
